ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
8.139,-25.76232,2.524,3.201,2.774,1.495,3,3,3,1,90.0,3.201
8.29635,-22.29315,7.527,11.6,9.519,2.395,3,3,3,1,90.0,11.6
9.20319,7.47765,2.748,3.681,3.016,2.657,1,3,3,1,90.0,3.681
0.18858,-30.39646,3.477,4.417,3.94,2.024,3,3,3,1,90.0,4.417
0.66986,-24.07819,21.1,13.86,3.637,2.294,3,3,3,1,65.0,21.1
2.70361,-32.86793,19.5,15.36,4.866,2.428,3,3,3,1,65.0,19.5
4.43004,-30.12927,1.602,4.612,3.527,2.54,3,3,3,2,90.0,4.612
7.72688,-38.30291,1.692,4.205,3.596,2.858,1,3,3,1,90.0,4.205
9.35232,-40.6358,4.577,5.761,5.671,2.487,3,3,3,1,90.0,5.761
9.59644,65.12056,5.357,5.518,4.753,2.397,3,3,3,1,90.0,5.518
9.96223,23.14374,1.548,3.969,3.351,1.327,1,3,3,1,90.0,3.969
3.02336,-33.09454,8.045,6.624,2.664,2.165,3,3,3,1,65.0,8.045
3.40382,-10.66708,2.548,3.261,3.042,2.498,1,3,3,1,90.0,3.261
3.06072,-62.78825,17.58,12.82,3.099,2.469,3,3,3,1,65.0,17.58
6.24859,-19.71327,3.264,3.325,2.546,1.616,3,3,3,1,90.0,3.325
6.42935,-15.7491,3.684,4.474,3.274,2.325,3,3,3,1,90.0,4.474
7.08307,14.52884,2.166,3.444,3.21,0.8748,3,3,3,1,90.0,3.444
7.51206,-42.01968,12.3,9.176,3.955,1.673,3,3,3,1,65.0,12.3
8.12654,-75.37418,11.7,14.88,2.359,0.7019,3,3,3,1,90.0,14.88
9.26311,69.70117,10.11,5.574,6.676,0.1325,3,3,3,1,65.0,10.11
2.3365,-80.85794,3.373,6.896,2.845,1.232,3,3,3,1,90.0,6.896
2.33732,-62.6127,11.32,10.21,3.831,2.525,3,3,3,1,65.0,11.32
2.66877,24.41503,3.585,4.258,3.369,1.566,3,3,3,1,90.0,4.258
4.25221,-14.65832,22.4,14.72,4.406,0.6738,3,3,3,1,65.0,22.4
5.0008,8.22616,5.654,5.247,4.032,1.057,3,3,3,1,65.0,5.654
5.78701,-60.54501,25.46,16.8,6.797,2.19,3,3,3,1,65.0,25.46
6.1462,-52.73855,15.77,11.73,2.763,1.155,3,3,3,1,65.0,15.77
8.3214,16.4077,1.996,3.116,2.456,1.363,3,3,3,1,90.0,3.116
2.0439,-65.32372,2.38,3.163,3.017,2.561,3,3,3,1,90.0,3.163
4.46931,-4.36199,2.602,3.078,2.032,0.889,1,3,3,1,90.0,3.078
5.08215,-65.24909,17.72,13.29,5.162,2.457,3,3,3,1,65.0,17.72
5.4562,-60.5763,5.902,5.147,5.054,1.009,3,3,3,1,65.0,5.902
7.46983,-59.89451,2.892,4.939,2.995,0.3305,3,3,3,1,90.0,4.939
9.52853,-60.1779,9.437,8.759,7.567,2.37,3,3,3,1,65.0,9.437
3.92814,-14.59375,8.192,6.741,3.758,1.43,3,3,3,1,65.0,8.192
7.164,-35.98702,20.1,14.66,3.876,1.484,3,3,3,1,65.0,20.1
6.12943,-18.78132,4.156,4.822,2.32,1.931,3,3,3,1,90.0,4.822
0.09001,55.84783,9.999,7.378,2.212,2.15,3,3,3,1,65.0,9.999
0.17784,-50.26925,8.902,6.91,3.023,1.48,3,3,3,1,65.0,8.902
5.44806,-54.09216,2.667,3.236,2.56,2.318,1,3,3,1,90.0,3.236
7.19605,-67.64355,14.68,12.26,3.734,2.447,3,3,3,1,65.0,14.68
7.43764,-62.23704,12.96,16.58,9.12,1.289,1,3,3,1,90.0,16.58
9.96633,-60.39161,8.776,0.9283,5.707,2.437,3,3,3,1,65.0,8.776
0.60223,-16.72779,4.989,5.16,4.862,1.937,3,3,3,1,90.0,5.16
1.01275,-64.94094,0.1156,3.583,3.036,2.342,1,3,3,1,90.0,3.583
2.46215,-56.11546,28.74,20.72,5.054,2.195,3,3,3,1,65.0,28.74
2.95989,-62.60573,1.399,6.662,5.437,2.44,1,3,3,2,90.0,6.662
6.7083,14.40471,2.703,3.553,3.402,2.505,3,3,3,1,90.0,3.553
7.61555,-48.27634,5.572,6.073,3.68,2.657,3,3,3,1,90.0,6.073
8.1273,-66.3909,8.682,8.031,3.722,2.633,3,3,3,1,65.0,8.682
8.87753,-65.50962,11.97,9.053,2.961,1.985,3,3,3,1,65.0,11.97
1.55548,-11.83428,2.12,3.809,2.904,2.096,3,3,3,1,90.0,3.809
3.91298,19.17874,17.63,12.98,3.156,1.114,3,3,3,1,65.0,17.63
4.04301,-29.32231,4.108,4.654,4.288,2.268,3,3,3,1,90.0,4.654
7.74439,-30.09705,7.737,5.969,3.102,1.502,3,3,3,1,65.0,7.737
8.43163,-14.61987,2.815,3.99,3.263,2.387,3,3,3,1,90.0,3.99
8.86457,72.4463,4.335,3.859,3.256,2.318,3,3,3,1,65.0,4.335
0.24644,-37.07485,5.267,6.511,5.283,1.397,3,3,3,1,90.0,6.511
1.54274,-37.68482,3.166,7.805,5.35,2.71,3,3,3,1,90.0,7.805
3.23192,-56.78107,2.998,5.98,5.272,1.248,3,3,3,1,90.0,5.98
4.38088,-42.27366,5.748,5.559,2.859,1.111,3,3,3,1,65.0,5.748
5.63466,-44.83583,17.12,14.09,3.05,2.676,3,3,3,1,65.0,17.12
8.42416,-55.34306,28.36,22.19,8.402,2.55,3,3,3,1,65.0,28.36
8.57996,-70.07934,9.558,7.951,2.355,2.021,3,3,3,1,65.0,9.558
9.96384,-62.49109,8.164,0.9873,6.118,0.7946,3,3,3,1,65.0,8.164
0.79026,-39.57959,3.514,4.724,4.703,1.326,3,3,3,1,90.0,4.724
1.7471,35.97748,6.907,5.805,3.323,2.672,3,3,3,1,65.0,6.907
1.86424,-9.93169,4.124,5.609,5.491,2.88,3,3,3,1,90.0,5.609
3.77304,-26.19202,3.979,3.062,3.572,2.698,3,3,3,1,65.0,3.979
4.7019,-34.67728,3.272,4.777,2.502,2.611,3,3,3,1,90.0,4.777
7.81612,-48.74965,15.01,11.06,4.713,1.684,3,3,3,1,65.0,15.01
0.66206,47.24107,26.2,18.51,5.536,2.388,3,3,3,1,65.0,26.2
2.78297,-31.3212,3.847,5.146,4.041,1.016,3,3,3,1,90.0,5.146
