ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
311.59738,46.51465,1.44,6.402,,0.89,1,1,3,1,90.0,6.402
351.12448,68.10638,2.642,3.477,,0.0405,1,1,2,0,90.0,3.477
350.29121,33.39992,1.687,3.116,,0.0719,1,1,2,0,90.0,3.116
350.3573,57.77664,2.634,3.65,0.124,0.0908,1,1,2,0,90.0,3.65
2.05026,66.16639,1.674,4.335,,0.0544,1,1,2,0,90.0,4.335
205.32263,-46.5355,2.172,3.462,,0.108,1,1,2,0,90.0,3.462
351.28831,66.68063,2.473,3.025,0.913,0.0392,1,1,2,0,90.0,3.025
326.61965,56.59946,1.738,4.489,,0.0333,1,1,2,0,90.0,4.489
1.67044,67.86701,2.39,3.123,,0.137,1,1,2,0,90.0,3.123
341.23741,62.24447,2.418,3.942,,0.146,1,1,2,0,90.0,3.942
314.13321,49.45512,2.888,3.954,,0.0984,1,1,2,0,90.0,3.954
264.1822,-33.33278,2.207,15.79,,0.4,1,1,3,1,90.0,15.79
306.33615,46.68913,1.797,4.937,,0.0875,1,1,2,0,90.0,4.937
314.44345,46.49832,1.381,3.896,0.523,0.315,1,1,8,8,90.0,3.896
314.78978,49.26764,2.525,4.154,,0.0619,1,1,2,0,90.0,4.154
2.67781,59.44241,0.8462,4.676,,0.0929,1,1,2,0,90.0,4.676
358.42783,68.97516,2.905,4.272,,0.188,1,1,2,0,90.0,4.272
314.45556,50.16427,1.856,3.125,,0.0619,1,1,2,0,90.0,3.125
2.50419,66.83948,0.9213,4.024,,0.0869,1,1,2,0,90.0,4.024
314.44006,44.48516,2.914,5.084,0.141,0.351,1,1,2,0,90.0,5.084
1.80019,68.92922,1.008,3.757,,0.101,1,1,2,0,90.0,3.757
351.82374,60.28136,2.405,4.111,,0.11,1,1,2,0,90.0,4.111
314.13117,45.78022,0.1417,5.473,,0.0626,1,1,2,0,90.0,5.473
298.03188,27.99388,1.569,3.141,,0.0463,1,1,2,0,90.0,3.141
314.59604,45.36045,2.476,3.873,,0.088,1,1,2,0,90.0,3.873
275.23063,-4.32416,1.016,3.104,,0.19,1,1,2,0,90.0,3.104
350.66352,58.79793,1.8,5.691,,0.224,1,1,2,0,90.0,5.691
340.73571,62.76574,1.912,3.701,,0.0732,1,1,2,0,90.0,3.701
2.46167,67.0748,2.318,5.268,,0.413,1,1,2,0,90.0,5.268
350.97334,61.03787,0.2106,4.433,,0.0819,1,1,2,0,90.0,4.433
353.12947,56.43034,2.676,4.662,,0.124,1,1,2,0,90.0,4.662
321.67396,54.35546,1.575,3.046,,0.0501,1,1,2,0,90.0,3.046
350.70235,60.21506,1.309,3.448,,0.116,1,1,2,0,90.0,3.448
2.14053,55.51011,2.373,3.964,,0.1,1,1,2,0,90.0,3.964
2.42869,63.84619,2.279,4.372,,0.0875,1,1,2,0,90.0,4.372
312.56633,53.4223,2.352,3.526,,0.0354,1,1,2,0,90.0,3.526
352.20848,60.38443,2.657,5.177,,0.123,1,1,2,0,90.0,5.177
314.35958,50.92851,2.116,3.747,,0.0631,1,1,2,0,90.0,3.747
286.60034,12.18576,2.359,4.69,,0.0348,1,1,2,0,90.0,4.69
344.14135,63.19686,0.3402,3.665,,0.172,1,1,2,0,90.0,3.665
270.15611,-16.05234,1.316,5.538,,0.268,1,1,2,0,90.0,5.538
335.10144,61.63726,1.995,3.095,,0.0442,1,1,2,0,90.0,3.095
323.41791,51.64661,2.998,3.581,,0.399,1,1,2,0,90.0,3.581
198.74784,-25.95245,1.971,3.457,,0.046,1,1,2,0,90.0,3.457
314.38915,50.97811,2.039,3.467,,0.0845,1,1,2,0,90.0,3.467
333.08459,-78.28927,1.553,4.003,,0.0296,1,1,2,0,90.0,4.003
337.34246,61.47515,2.747,3.198,,0.0997,1,1,2,0,90.0,3.198
335.64599,59.30641,1.82,9.719,,0.0437,1,1,2,0,90.0,9.719
332.09094,65.91948,2.363,3.649,,0.0698,1,1,2,0,90.0,3.649
314.23211,45.46392,2.671,3.822,,0.197,1,1,2,0,90.0,3.822
333.87972,57.73502,2.863,3.407,,0.13,1,1,2,0,90.0,3.407
233.18485,-53.10644,2.379,3.882,,0.036,3,1,2,0,90.0,3.882
343.43728,25.84451,2.874,3.3,,0.0756,1,1,2,0,90.0,3.3
344.5697,52.65874,2.593,3.1,,0.0232,1,1,2,0,90.0,3.1
287.21565,8.50711,0.2509,10.62,,0.654,1,1,3,1,90.0,10.62
264.89177,-38.33188,0.6519,3.632,,0.25,1,1,3,1,90.0,3.632
348.04784,59.18156,2.701,3.345,,0.0851,1,1,2,0,90.0,3.345
349.75297,57.60706,2.457,3.001,,0.0621,1,1,2,0,90.0,3.001
353.86318,-16.70642,1.949,3.124,,0.0816,1,1,2,0,90.0,3.124
333.794,61.24135,1.408,3.504,,0.097,1,1,2,0,90.0,3.504
351.78835,58.54805,1.675,3.493,,0.293,2,1,2,0,90.0,3.493
2.48152,60.2664,2.196,3.969,,0.0432,1,1,2,0,90.0,3.969
237.64747,-50.26252,1.776,3.899,,0.0905,1,1,2,0,90.0,3.899
2.55687,66.91837,2.132,4.84,,0.152,1,1,2,0,90.0,4.84
58.08224,-0.97386,1.85,3.04,,0.0735,1,1,2,0,90.0,3.04
2.58867,66.12046,2.979,3.837,,0.0906,1,1,2,0,90.0,3.837
317.07758,47.36123,2.786,3.683,,0.0503,1,1,2,0,90.0,3.683
345.53548,64.65625,2.535,5.534,,0.101,1,1,2,0,90.0,5.534
